source,destination,weight
D.Law,Nationals Park,37
R.Garcia,Nationals Park,35
J.Barnes,Nationals Park,34
K.Finnegan,Nationals Park,33
T.Rainey,Nationals Park,29
D.Floro,Nationals Park,24
J.Weems,Nationals Park,22
M.Gore,Nationals Park,19
J.Ferrer,Nationals Park,19
H.Harvey,Nationals Park,19
P.Corbin,Nationals Park,16
M.Parker,Nationals Park,15
E.Salazar,Nationals Park,13
J.Irvin,Nationals Park,13
D.Herz,Nationals Park,12
J.La Sorsa,Nationals Park,9
M.Barnes,Nationals Park,7
J.Adon,Nationals Park,5
T.Williams,Nationals Park,5
D.Law,LoanDepot Park,4
R.Garcia,Truist Park,4
J.Barnes,Citizens Bank Park,4
K.Finnegan,LoanDepot Park,3
J.Weems,Oakland Coliseum ,3
J.Barnes,Citi Field,3
J.Barnes,Truist Park,3
H.Harvey,Truist Park,3
K.Finnegan,Citizens Bank Park,3
K.Finnegan,Truist Park,3
R.Garcia,Citizens Bank Park,3
R.Garcia,Camden Yards,2
Z.Brzykcy,Nationals Park,2
H.Harvey,Great American Ballpark,2
J.Ferrer,LoanDepot Park,2
K.Finnegan,Great American Ballpark,2
Z.Brzykcy,Citi Field,2
K.Finnegan,Dodger Stadium,2
E.Salazar,Truist Park,2
H.Harvey,Dodger Stadium,2
O.Ribalta,Nationals Park,2
J.La Sorsa,Wrigley Field,2
J.Ferrer,Truist Park,2
D.Law,Oracle Park,2
D.Floro,Oracle Park,2
H.Harvey,LoanDepot Park,2
M.Barnes,LoanDepot Park,2
D.Floro,LoanDepot Park,2
J.Barnes,LoanDepot Park,2
R.Garcia,Busch Stadium,2
D.Floro,Busch Stadium,2
D.Law,Busch Stadium,2
I.Vargas,Nationals Park,2
D.Law,Chase Field,2
J.Barnes,Chase Field,2
R.Garcia,Chase Field,2
D.Law,Oakland Coliseum ,2
H.Harvey,Oakland Coliseum ,2
K.Finnegan,Oakland Coliseum ,2
R.Garcia,Oakland Coliseum ,2
D.Floro,Citi Field,2
K.Finnegan,Coors Field,2
D.Law,Petco Park,2
R.Garcia,Comerica Park,2
R.Garcia,Coors Field,2
K.Finnegan,Comerica Park,2
D.Law,Citi Field,2
D.Law,American Family Field,2
K.Finnegan,American Family Field,2
D.Law,Fenway Park,2
J.Barnes,Globe Life Field,2
J.Weems,Globe Life Field,2
P.Corbin,LoanDepot Park,2
T.Rainey,Petco Park,2
J.Weems,Petco Park,2
J.Irvin,Citi Field,2
J.Weems,Tropicana Field,2
M.Gore,Truist Park,2
D.Floro,Truist Park,2
R.Garcia,Progressive Field,2
R.Garcia,Fenway Park,2
R.Garcia,Guaranteed Rate Field,2
D.Floro,Fenway Park,2
D.Law,Guaranteed Rate Field,2
D.Law,Comerica Park,2
D.Floro,Coors Field,2
D.Floro,Comerica Park,2
H.Harvey,Comerica Park,2
M.Gore,Citizens Bank Park,2
