id,name,team,home_venue
J.La Sorsa,J.La Sorsa,WSN,Nationals Park
O.Ribalta,O.Ribalta,WSN,Nationals Park
P.Corbin,P.Corbin,WSN,Nationals Park
M.Barnes,M.Barnes,WSN,Nationals Park
K.Finnegan,K.Finnegan,WSN,Nationals Park
J.Adon,J.Adon,WSN,Nationals Park
J.Rutledge,J.Rutledge,WSN,Nationals Park
H.Harvey,H.Harvey,WSN,Nationals Park
E.Salazar,E.Salazar,WSN,Nationals Park
J.Weems,J.Weems,WSN,Nationals Park
M.Parker,M.Parker,WSN,Nationals Park
T.Williams,T.Williams,WSN,Nationals Park
J.Irvin,J.Irvin,WSN,Nationals Park
D.Herz,D.Herz,WSN,Nationals Park
J.Gray,J.Gray,WSN,Nationals Park
R.Garcia,R.Garcia,WSN,Nationals Park
D.Law,D.Law,WSN,Nationals Park
M.Gore,M.Gore,WSN,Nationals Park
D.Floro,D.Floro,WSN,Nationals Park
J.Barnes,J.Barnes,WSN,Nationals Park
Z.Brzykcy,Z.Brzykcy,WSN,Nationals Park
I.Vargas,I.Vargas,WSN,Nationals Park
J.Ferrer,J.Ferrer,WSN,Nationals Park
T.Rainey,T.Rainey,WSN,Nationals Park
A.Willingham,A.Willingham,WSN,Nationals Park
